customer_id,city,state,pop_thousand,land_sq_meter,pop_size,city_type,city_lctn
E13313,Honolulu,HI,339,156,small,sightseeing,other
E18097,Houston,TX,2325,1658,middle,other,south
E16656,San Jose,CA,1003,461,middle,sightseeing,west
E16875,Phoenix,AZ,1759,1341,middle,other,west
E13094,Phoenix,AZ,1759,1341,middle,other,west
E17315,New York,NY,8177,778,big,metro,east
E14606,San Diego,CA,1429,844,middle,sightseeing,west
E15379,Dallas,TX,1348,879,middle,other,south
E16255,New York,NY,8177,778,big,metro,east
E13319,San Jose,CA,1003,461,middle,sightseeing,west
E16282,New York,NY,8177,778,big,metro,east
E13963,Chicago,IL,2671,589,middle,metro,east
E12957,Honolulu,HI,339,156,small,sightseeing,other
E14462,Los Angeles,CA,3985,1216,middle,metro,west
E17841,New York,NY,8177,778,big,metro,east
E17188,Chicago,IL,2671,589,middle,metro,east
E15039,San Diego,CA,1429,844,middle,sightseeing,west
E17428,New York,NY,8177,778,big,metro,east
E14210,Las Vegas,NV,675,367,small,sightseeing,west
E14180,New York,NY,8177,778,big,metro,east
E16029,New York,NY,8177,778,big,metro,east
E17975,Houston,TX,2325,1658,middle,other,south
E13397,Dallas,TX,1348,879,middle,other,south
E13680,Houston,TX,2325,1658,middle,other,south
E15164,Phoenix,AZ,1759,1341,middle,other,west
E17457,New York,NY,8177,778,big,metro,east
E14732,New York,NY,8177,778,big,metro,east
E16814,Chicago,IL,2671,589,middle,metro,east
E16725,New York,NY,8177,778,big,metro,east
E14221,Houston,TX,2325,1658,middle,other,south
E14553,Los Angeles,CA,3985,1216,middle,metro,west
E13253,Los Angeles,CA,3985,1216,middle,metro,west
E15373,New York,NY,8177,778,big,metro,east
E16241,Los Angeles,CA,3985,1216,middle,metro,west
E15808,San Antonio,TX,1598,1291,middle,other,south
E17389,Los Angeles,CA,3985,1216,middle,metro,west
E15973,Los Angeles,CA,3985,1216,middle,metro,west
E13126,Los Angeles,CA,3985,1216,middle,metro,west
E15498,New York,NY,8177,778,big,metro,east
E15235,Houston,TX,2325,1658,middle,other,south
E17675,Houston,TX,2325,1658,middle,other,south
E16145,Chicago,IL,2671,589,middle,metro,east
E13694,Houston,TX,2325,1658,middle,other,south
E13798,New York,NY,8177,778,big,metro,east
E15002,San Diego,CA,1429,844,middle,sightseeing,west
E14189,New York,NY,8177,778,big,metro,east
E12921,Las Vegas,NV,675,367,small,sightseeing,west
E15841,Houston,TX,2325,1658,middle,other,south
E15311,Houston,TX,2325,1658,middle,other,south
E16112,Los Angeles,CA,3985,1216,middle,metro,west
E15769,Los Angeles,CA,3985,1216,middle,metro,west
E16719,San Antonio,TX,1598,1291,middle,other,south
E13089,Los Angeles,CA,3985,1216,middle,metro,west
E18109,Chicago,IL,2671,589,middle,metro,east
E13629,Las Vegas,NV,675,367,small,sightseeing,west
E16600,San Diego,CA,1429,844,middle,sightseeing,west
E13715,Los Angeles,CA,3985,1216,middle,metro,west
E14527,Dallas,TX,1348,879,middle,other,south
E13767,New York,NY,8177,778,big,metro,east
E15661,Dallas,TX,1348,879,middle,other,south
E16353,Phoenix,AZ,1759,1341,middle,other,west
E16532,San Jose,CA,1003,461,middle,sightseeing,west
E17511,Los Angeles,CA,3985,1216,middle,metro,west
E16316,Phoenix,AZ,1759,1341,middle,other,west
E16033,Los Angeles,CA,3985,1216,middle,metro,west
E15984,Chicago,IL,2671,589,middle,metro,east
E13199,Houston,TX,2325,1658,middle,other,south
E14739,San Jose,CA,1003,461,middle,sightseeing,west
E15093,Chicago,IL,2671,589,middle,metro,east
E15266,New York,NY,8177,778,big,metro,east
E14653,Los Angeles,CA,3985,1216,middle,metro,west
E15358,New York,NY,8177,778,big,metro,east
E16771,Los Angeles,CA,3985,1216,middle,metro,west
E17585,Los Angeles,CA,3985,1216,middle,metro,west
E15046,New York,NY,8177,778,big,metro,east
E17213,Phoenix,AZ,1759,1341,middle,other,west
E13082,Phoenix,AZ,1759,1341,middle,other,west
E13081,San Diego,CA,1429,844,middle,sightseeing,west
E15464,Los Angeles,CA,3985,1216,middle,metro,west
E15034,Philadelphia,PA,1585,348,middle,other,east
E15298,Houston,TX,2325,1658,middle,other,south
E12748,Phoenix,AZ,1759,1341,middle,other,west
E13225,Phoenix,AZ,1759,1341,middle,other,west
E14045,Philadelphia,PA,1585,348,middle,other,east
E18226,San Diego,CA,1429,844,middle,sightseeing,west
E13097,San Jose,CA,1003,461,middle,sightseeing,west
E18062,Chicago,IL,2671,589,middle,metro,east
E17949,New York,NY,8177,778,big,metro,east
E15271,San Diego,CA,1429,844,middle,sightseeing,west
E13458,New York,NY,8177,778,big,metro,east
E14135,San Diego,CA,1429,844,middle,sightseeing,west
E14680,Phoenix,AZ,1759,1341,middle,other,west
E17368,New York,NY,8177,778,big,metro,east
E14618,New York,NY,8177,778,big,metro,east
E14258,San Diego,CA,1429,844,middle,sightseeing,west
E15719,Phoenix,AZ,1759,1341,middle,other,west
E13368,Dallas,TX,1348,879,middle,other,south
E17634,New York,NY,8177,778,big,metro,east
E15823,New York,NY,8177,778,big,metro,east
E16676,Los Angeles,CA,3985,1216,middle,metro,west
E14299,New York,NY,8177,778,big,metro,east
E12841,San Jose,CA,1003,461,middle,sightseeing,west
E16424,Philadelphia,PA,1585,348,middle,other,east
E18283,San Diego,CA,1429,844,middle,sightseeing,west
E13764,New York,NY,8177,778,big,metro,east
E13576,New York,NY,8177,778,big,metro,east
E13093,Los Angeles,CA,3985,1216,middle,metro,west
E13599,Chicago,IL,2671,589,middle,metro,east
E18041,Philadelphia,PA,1585,348,middle,other,east
E13408,Phoenix,AZ,1759,1341,middle,other,west
E13656,Houston,TX,2325,1658,middle,other,south
E12971,San Diego,CA,1429,844,middle,sightseeing,west
E14505,New York,NY,8177,778,big,metro,east
E15061,New York,NY,8177,778,big,metro,east
E14312,Chicago,IL,2671,589,middle,metro,east
