product_name,stock_type
JUMBO BAG PINK POLKADOT,consignment
BLUE POLKADOT WRAP,consignment
RED RETROSPOT WRAP,consignment
RECYCLING BAG RETROSPOT,consignment
RED RETROSPOT SHOPPER BAG,consignment
JUMBO BAG RED RETROSPOT,consignment
RED RETROSPOT CHILDRENS UMBRELLA,consignment
JAM MAKING SET PRINTED,consignment
RECIPE BOX RETROSPOT,consignment
CHILDRENS APRON APPLES DESIGN,buying
PEG BAG APPLES DESIGN,consignment
COFFEE MUG APPLES DESIGN,consignment
COFFEE MUG PEARS  DESIGN,consignment
WHITE HANGING HEART T-LIGHT HOLDER,consignment
SET OF 6 T-LIGHTS EASTER CHICKS,consignment
CAST IRON HOOK GARDEN FORK,buying
LOVE HEART NAPKIN BOX,consignment
RED HANGING HEART T-LIGHT HOLDER,consignment
CERAMIC BOWL WITH LOVE HEART DESIGN,consignment
LARGE CAKE STAND HANGING HEARTS,consignment
PLACE SETTING WHITE HEART,consignment
DOORSTOP RETROSPOT HEART,consignment
GINGHAM HEART  DOORSTOP RED,consignment
CERAMIC CHERRY CAKE MONEY BANK,consignment
LOVE HEART POCKET WARMER,consignment
SWEETHEART CERAMIC TRINKET BOX,consignment
GARDEN METAL SIGN,consignment
RED KITCHEN SCALES,consignment
VICTORIAN SEWING BOX SMALL,consignment
VINTAGE SNAP CARDS,consignment
HANGING HEART ZINC T-LIGHT HOLDER,consignment
BREAD BIN DINER STYLE RED,consignment
IVORY KITCHEN SCALES,consignment
TRIPLE PHOTO FRAME CORNICE,consignment
JAM JAR WITH GREEN LID,consignment
JAM JAR WITH PINK LID,consignment
ENAMEL FLOWER JUG CREAM,consignment
PHOTO FRAME 3 CLASSIC HANGING,consignment
RED DINER WALL CLOCK,consignment
IVORY DINER WALL CLOCK,consignment
SINGLE HEART ZINC T-LIGHT HOLDER,consignment
PACK OF 20 NAPKINS PANTRY DESIGN,buying
FAMILY PHOTO FRAME CORNICE,consignment
3 HOOK PHOTO SHELF ANTIQUE WHITE,consignment
HANGING HEART JAR T-LIGHT HOLDER,consignment
SWEETHEART CAKESTAND 3 TIER,consignment
SET OF 3 HEART COOKIE CUTTERS,consignment
BREAD BIN DINER STYLE IVORY,consignment
SET OF 3 CAKE TINS PANTRY DESIGN,consignment
"NATURAL SLATE HEART CHALKBOARD",consignment
HOMEMADE JAM SCENTED CANDLES,consignment
ANTIQUE SILVER TEA GLASS ETCHED,consignment
SET OF 4 DIAMOND NAPKIN RINGS,consignment
ENGLISH ROSE GARDEN SECATEURS,consignment
MINI WOODEN HAPPY BIRTHDAY GARLAND,consignment
ROSES REGENCY TEACUP AND SAUCER,consignment
PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,consignment
